,y_test,y_pred
0,1,0.8290683905149322
1,1,0.5344816242575969
2,1,0.3780563547972972
3,0,0.3567998813950852
4,0,0.1457630571841975
5,1,0.8380826481524355
6,1,0.49337323106121295
7,0,0.6552017271848388
8,1,0.5469537528640599
9,1,0.9282380313901136
10,0,0.03645611436312196
11,0,0.6622409255874935
12,0,0.10763132911746792
13,1,0.4062255226222302
14,1,0.36135737075684565
15,1,0.5588016192121448
16,0,0.10402017062611636
17,0,0.05289498208220671
18,1,0.9427090639835907
19,0,0.058424949937089375
20,0,0.02124504829609136
21,0,0.3120572339024365
22,0,0.03713502105191501
23,1,0.21271731389517953
24,0,0.7159332910190009
25,0,0.6841499668439786
26,0,0.7802001272762012
27,0,0.017359099910908234
28,1,0.5646382436557054
29,0,0.10412781818213583
30,1,0.7573035465589022
31,1,0.8733094766359083
32,1,0.2959461407898166
33,0,0.21375186074087368
34,0,0.09539718396007406
35,0,0.18760618743142898
36,1,0.589168726468399
37,1,0.7840694561258147
38,0,0.8450738225460794
39,1,0.6354305808604883
40,0,0.16592758296040344
41,1,0.655157183133011
42,1,0.23449156646798905
43,1,0.9174482313630109
44,0,0.48507660853868856
45,0,0.034611508226989544
46,0,0.014733130168164724
47,1,0.6141493849272501
48,1,0.43519807217554884
49,0,0.04502577265763455
50,1,0.6097553623441198
51,1,0.8564705286392511
52,0,0.658718063283274
53,1,0.5308509348503428
54,0,0.1490071646837608
55,1,0.9643144472480263
56,0,0.060252963498039096
57,1,0.14494692414785487
58,1,0.8515629215955758
59,1,0.814733115154509
60,0,0.5813505078165208
61,0,0.024966640080199838
62,0,0.5106815170773884
63,0,0.1844852819063995
64,1,0.5505387258680434
65,0,0.27328085754144565
66,0,0.8618336035830567
67,0,0.12520131626294623
68,0,0.7084816040073763
69,1,0.5992463074244186
70,0,0.060915396489979415
71,0,0.10323745023028
72,0,0.06941946465998616
73,1,0.41246936953748287
74,0,0.14092878835795045
75,0,0.3308719176023308
76,0,0.03556888769829827
77,1,0.758308689586471
78,0,0.7584064439686385
79,1,0.7596112492626861
80,1,0.7529569696482545
81,1,0.8529713841277808
82,1,0.8761174490605549
83,1,0.7726077182668643
84,1,0.8063871735493823
85,0,0.6952389876537233
86,1,0.7588886213269295
87,1,0.6645832788039842
88,0,0.16408598889135823
89,0,0.309141098613376
90,0,0.4981603948812797
91,0,0.17502848504235857
92,0,0.08836108772893628
93,1,0.6290560762390511
94,0,0.1578699835882165
95,0,0.0659664568898116
96,0,0.045079069754347896
97,1,0.32752887816810367
98,1,0.7677814546211438
99,0,0.25464163150038976
100,0,0.05222940483610052
101,1,0.8392670378897272
102,0,0.39209669860790375
103,1,0.892506813209926
104,1,0.9240778353962326
105,0,0.31220753057598066
106,0,0.5225747964516484
107,0,0.06886501494831077
108,1,0.8438279950626498
109,1,0.868166506725903
110,0,0.08135282070090473
111,0,0.3944309882235432
112,0,0.30102834110882476
113,1,0.4615183786581777
114,0,0.2345373772167696
115,0,0.15419823562214954
116,0,0.4181057692354706
117,1,0.932876014008907
118,0,0.030935453908150553
119,0,0.07691145733643437
120,0,0.07798982663782596
121,0,0.8392540928700832
122,1,0.6131397551996208
123,0,0.41135750705636215
124,0,0.922115109090927
125,1,0.9089707278098523
126,0,0.16127660969480886
127,1,0.2963234282013704
128,0,0.12922659189008515
129,1,0.25256424574979874
130,0,0.21851773911290953
131,0,0.20672771189864395
132,1,0.8356934565312572
133,0,0.5259720972353954
134,1,0.6247520314842797
135,1,0.9648661264076821
136,0,0.5584136380819149
137,0,0.11672177241470877
138,1,0.24471664437155397
139,0,0.1572250458389194
140,0,0.017877127581930347
141,1,0.9666436024838853
142,1,0.699827624190771
143,1,0.8133945306697166
144,0,0.07657025055935557
145,1,0.1512542658948961
146,0,0.030164537484375923
147,0,0.06995989023931326
148,0,0.2033656361584571
149,0,0.03472173493863333
150,1,0.40431630703602933
151,0,0.6266668906292523
152,1,0.9499666785199555
153,0,0.19569295047486787
154,0,0.3809725903897312
155,1,0.5185704175137217
156,1,0.8358166186893254
157,0,0.10000947038054822
158,0,0.343514330871119
159,0,0.07148836348100063
160,1,0.8849557170987207
161,0,0.11880850925763088
162,1,0.7954789593823601
163,0,0.38191719349337017
164,0,0.14640525540746493
165,0,0.13506645295502603
166,1,0.6072612711858594
167,0,0.2502964722580656
168,0,0.3481823400314384
169,1,0.9758030407441051
170,0,0.48624522642232326
171,0,0.35632465503396604
172,1,0.8453369830307738
173,0,0.08401141374019462
174,0,0.05292866759497953
175,0,0.18581165125207574
176,0,0.030954772976805947
177,0,0.1866764964918024
178,1,0.9575114378735333
179,0,0.22969651570646665
180,0,0.18533829620933492
181,0,0.07801442549785037
182,1,0.8624156980849432
183,1,0.5971407015345471
184,1,0.5999394143793197
185,1,0.5185506445980569
186,0,0.3556354044419219
187,0,0.26969483358976515
188,0,0.0856773987060905
189,0,0.03443857910946001
190,1,0.8966434898246884
191,0,0.5600262343663259
192,1,0.8977601809629844
193,0,0.08350774889227099
194,1,0.9565145895995005
195,0,0.2250717265381846
196,0,0.0621353709724791
197,0,0.18740115894015594
198,1,0.6809200162085441
199,0,0.5057839110641429
200,0,0.03116669022929225
201,0,0.08609454814023199
202,1,0.23839238158708342
203,1,0.4862414801397011
204,0,0.21670432102868062
205,0,0.162337016019807
206,1,0.8496336659287269
207,0,0.1487130304789709
208,0,0.047248867174975374
209,1,0.8560116363431172
210,0,0.24836758847865034
211,1,0.8506216484043984
212,0,0.6053630938470898
213,0,0.13694259220382918
214,0,0.41917227806631985
215,0,0.2500261525326626
216,1,0.9350587036386236
217,0,0.19952903018220133
218,0,0.1461985878013219
219,1,0.8423980309156516
220,1,0.6010282712504328
221,0,0.5067859368995691
222,0,0.46562598417194595
223,0,0.439055705815177
224,1,0.9256437449055737
225,1,0.8626362881924288
226,1,0.5057713044790276
227,0,0.02046549787726556
228,1,0.9454228633614024
229,0,0.028654931442986153
230,0,0.14552898469391873
231,0,0.39010704527897205
232,1,0.31318562730059607
233,1,0.9321587390106387
234,1,0.3108562534641792
235,0,0.04703521575963609
236,0,0.050510783610836885
237,0,0.20829279485157096
238,1,0.9278553972371095
